"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
101647 0 101647 38744 101647 101647 38744 38744 101647 0 101647 0
101647 0 5082.35 38744 5082.35 5082.35 38744 38744 101647 0 101647 0
810.25 0 801.25 2 802.75 788.25 0.25 1 793.25 0 793.5 0
860.55 0 842.525 3 860.75 863.2 4 3.775 855 0 852.55 0
0.00797121410371187 0 0.00788267238580578 5.1620896138757e-05 0.00789742933879013 0.00775477879327476 6.45261201734462e-06 2.58104480693785e-05 0.00780396863655592 0 0.00780642812871998 0
0.00846606392712033 0 0.00828873454209175 7.74313442081354e-05 0.00846803152085157 0.00849213454405934 0.000103241792277514 9.74344414619038e-05 0.00841146320107824 0 0.00838736017787047 0
810.25 0 0 2 0 0 0.25 1 793.25 0 793.5 0
860.55 0 0 3 0 0 4 3.775 855 0 852.55 0
0.00797121410371187 0 0 5.1620896138757e-05 0 0 6.45261201734462e-06 2.58104480693785e-05 0.00780396863655592 0 0.00780642812871998 0
0.00846606392712033 0 0 7.74313442081354e-05 0 0 0.000103241792277514 9.74344414619038e-05 0.00841146320107824 0 0.00838736017787047 0
640 0 645 1 635 626 0.25 0.25 634.75 0 622.75 0
678.425 0 673.625 3 691.275 690.975 3.775 2.775 692.775 0 677.775 0
0.00629629993998839 0 0.00634548978326955 2.58104480693785e-05 0.00624711009670723 0.00615856837880115 6.45261201734462e-06 6.45261201734462e-06 0.00624465060454317 0 0.00612659498066839 0
0.0066743238856041 0 0.00662710163605419 7.74313442081354e-05 0.00680074178283668 0.00679779039223981 9.74344414619038e-05 7.16239933925253e-05 0.00681549873582103 0 0.00666792920597755 0
1726.75 534.25 1180 523 1173 1175.25 532 543.25 1652 505.75 1688.5 507.75
1825.075 665.975 1254.025 595.175 1315.75 1243.1 577.85 613.3 1796.525 579.2 1830.05 624.3
0.234294436906377 0.0724898236092266 0.16010854816825 0.0709633649932157 0.159158751696065 0.159464043419267 0.0721845318860244 0.0737109905020353 0.22415196743555 0.0686227951153324 0.22910447761194 0.0688941655359566
0.247635685210312 0.0903629579375848 0.170152645861601 0.0807564450474898 0.178527815468114 0.168670284938942 0.0784056987788331 0.0832157394843962 0.243761872455902 0.0785888738127544 0.248310719131615 0.084708276797829
2424.75 1476 2141 1454 2096 2106.25 1464 1468.25 2397 1455 2408 1452.5
2475.375 1590.275 2186.65 1524.175 2257.55 2157.65 1510.925 1544.3 2503.975 1525.725 2515.8 1546.35
0.476843657817109 0.290265486725664 0.421042281219272 0.285939036381514 0.412192723697148 0.414208456243854 0.287905604719764 0.28874139626352 0.471386430678466 0.286135693215339 0.473549655850541 0.285644051130777
0.486799410029499 0.312738446411013 0.430019665683382 0.299739429695182 0.443962635201573 0.424316617502458 0.297133726647001 0.30369714847591 0.492423795476893 0.300044247787611 0.494749262536873 0.304100294985251
-3.16348822039791e-05 -1.06630063974322e-05 -2.32098030830963e-05 -1.08619321309705e-05 -2.37421893443807e-05 -2.26592176569701e-05 -1.05824595178217e-05 -1.05035041785412e-05 -3.21416038282785e-05 -1.04629002198181e-05 -3.20046520379119e-05 -1.01469857454045e-05
-3.01973449111675e-05 -8.96871729690191e-06 -2.11254047150958e-05 -8.85797604932986e-06 -2.12556744810549e-05 -2.13270085052217e-05 -9.81780412230987e-06 -9.48909082618687e-06 -2.93770036868618e-05 -8.86638750625529e-06 -2.87579815944516e-05 -9.28989604080804e-06
-0.000105657755690444 -3.56135141455916e-05 -7.751872404534e-05 -3.62779087976472e-05 -7.92968478633784e-05 -7.56798165992727e-05 -3.53444945717981e-05 -3.50807906043117e-05 -0.000107350161852669 -3.49451769129705e-05 -0.000106892754781746 -3.3890050039368e-05
-0.00010085650613622 -2.99547358799245e-05 -7.05570147490097e-05 -2.95848697427479e-05 -7.099210443946e-05 -7.12303538771924e-05 -3.27906120428408e-05 -3.16927382176746e-05 -9.81166377813568e-05 -2.96129632774448e-05 -9.60491578209405e-05 -3.10274449558676e-05
