,country1,country
1,Afghanistan,Afghanistan
2,Albania,Albania
3,Algeria,Algeria
4,Andorra,Andorra
5,Angola,Angola
6,Antigua And Barbuda,Antigua and Barbuda
7,Argentina,Argentina
8,Armenia,Armenia
9,Aruba,Netherlands
10,Australia,Australia
11,Austria,Austria
12,Azerbaijan,Azerbaijan
13,Bahamas,Bahamas
14,Bahrain,Bahrain
15,Bangladesh,Bangladesh
16,Barbados,Barbados
17,Belarus,Belarus
18,Belgium,Belgium
19,Belize,Belize
20,Benin,Benin
21,Bermuda,United Kingdom
22,Bolivia,Bolivia
23,Bosnia And Herzegovina,Bosnia and Herzegovina
24,Botswana,Botswana
25,Brazil,Brazil
26,Brunei Darussalam,Brunei
27,Bulgaria,Bulgaria
28,Burkina Faso,Burkina Faso
29,Burundi,Burundi
30,Cabo Verde,Cabo Verde
31,Cameroon,Cameroon
32,Canada,Canada
33,Caribbean Netherlands,Netherlands
34,Cayman Islands,United Kingdom
35,Central African Republic,Central African Republic
36,Chad,Chad
37,Channel Islands,US
38,Chile,Chile
39,China,China
40,China Hong Kong Sar,China
41,Colombia,Colombia
42,Congo,Congo (Brazzaville)
43,Costa Rica,Costa Rica
44,Cote D Ivoire,Cote d'Ivoire
45,Croatia,Croatia
46,Cuba,Cuba
47,Curacao,Curacao
48,Cyprus,Cyprus
49,Czech Republic,Czechia
50,Democratic Republic Of The Congo,Congo (Kinshasa)
51,Denmark,Denmark
52,Djibouti,Djibouti
53,Dominican Republic,Dominican Republic
54,Ecuador,Ecuador
55,Egypt,Egypt
56,El Salvador,El Salvador
57,Equatorial Guinea,Equatorial Guinea
58,Eritrea,Eritrea
59,Estonia,Estonia
60,Ethiopia,Ethiopia
61,Fiji,Fiji
62,Finland,Finland
63,France,France
64,French Guiana,France
65,French Polynesia,France
66,Gabon,Gabon
67,Gambia,Gambia
68,Georgia,Georgia
69,Germany,Germany
70,Ghana,Ghana
71,Gibraltar,United Kingdom
72,Greece,Greece
73,Guadeloupe,France
74,Guatemala,Guatemala
75,Guinea,Guinea
76,Guinea Bissau,Guinea-Bissau
77,Guyana,Guyana
78,Haiti,Haiti
79,Honduras,Honduras
80,Hungary,Hungary
81,Iceland,Iceland
82,India,India
83,Indonesia,Indonesia
84,Iran,Iran
85,Iraq,Iraq
86,Ireland,Ireland
87,Isle Of Man,United Kingdom
88,Israel,Israel
89,Italy,Italy
90,Jamaica,Jamaica
91,Japan,Japan
92,Jordan,Jordan
93,Kazakhstan,Kazakhstan
94,Kenya,Kenya
95,Kuwait,Kuwait
96,Kyrgyzstan,Kyrgyzstan
97,Latvia,Latvia
98,Lebanon,Lebanon
99,Liberia,Liberia
100,Libya,Libya
101,Liechtenstein,Liechtenstein
102,Lithuania,Lithuania
103,Luxembourg,Luxembourg
104,Macedonia,North Macedonia
105,Madagascar,Madagascar
106,Malawi,Malawi
107,Malaysia,Malaysia
108,Maldives,Maldives
109,Mali,Mali
110,Malta,Malta
111,Martinique,France
112,Mauritania,Mauritania
113,Mauritius,Mauritius
114,Mayotte,France
115,Mexico,Mexico
116,Moldova,Moldova
117,Monaco,Monaco
118,Mongolia,Mongolia
119,Montenegro,Montenegro
120,Morocco,Morocco
121,Mozambique,Mozambique
122,Myanmar,Myanmar
123,Namibia,Namibia
124,Nepal,Nepal
125,Netherlands,Netherlands
126,New Zealand,New Zealand
127,Nicaragua,Nicaragua
128,Niger,Niger
129,Nigeria,Nigeria
130,Norway,Norway
131,Oman,Oman
132,Pakistan,Pakistan
133,Panama,Panama
134,Papua New Guinea,Papua New Guinea
135,Paraguay,Paraguay
136,Peru,Peru
137,Philippines,Philippines
138,Poland,Poland
139,Portugal,Portugal
140,Qatar,Qatar
141,Reunion,France
142,Romania,Romania
143,Russia,Russia
144,Rwanda,Rwanda
145,Saint Lucia,Saint Lucia
146,Saint Martin,France
147,Saint Vincent And The Grenadines,Saint Vincent and the Grenadines
148,San Marino,San Marino
149,Sao Tome And Principe,Sao Tome and Principe
150,Saudi Arabia,Saudi Arabia
151,Senegal,Senegal
152,Serbia,Serbia
153,Seychelles,Seychelles
154,Sierra Leone,Sierra Leone
155,Singapore,Singapore
156,Sint Maarten,Netherlands
157,Slovakia,Slovakia
158,Slovenia,Slovenia
159,Somalia,Somalia
160,South Africa,South Africa
161,South Korea,"Korea, South"
162,South Sudan,South Sudan
163,Spain,Spain
164,Sri Lanka,Sri Lanka
165,State Of Palestine,State Of Palestine
166,Sudan,Sudan
167,Suriname,Suriname
168,Swaziland,Swaziland
169,Sweden,Sweden
170,Switzerland,Switzerland
171,Syria,Syria
172,Taiwan,Taiwan*
173,Tanzania,Tanzania
174,Thailand,Thailand
175,Togo,Togo
176,Trinidad And Tobago,Trinidad and Tobago
177,Tunisia,Tunisia
178,Turkey,Turkey
179,Turks And Caicos Islands,United Kingdom
180,Uganda,Uganda
181,Uk,United Kingdom
182,Ukraine,Ukraine
183,United Arab Emirates,United Arab Emirates
184,Uruguay,Uruguay
185,Us,US
186,Uzbekistan,Uzbekistan
187,Venezuela,Venezuela
188,Viet Nam,Vietnam
189,Yemen,Yemen
190,Zambia,Zambia
191,Zimbabwe,Zimbabwe
